,estimator,T,value,measure,design
0,GFE,5,-0.5692591740774657,Bias,"N=1000, gamma=1"
1,GFE,10,-0.20430403264698627,Bias,"N=1000, gamma=1"
2,GFE,15,-0.11925207403538807,Bias,"N=1000, gamma=1"
3,GFE,20,-0.08837846500182911,Bias,"N=1000, gamma=1"
4,GFE,25,-0.06961828474040399,Bias,"N=1000, gamma=1"
5,GFE,30,-0.05468835528078386,Bias,"N=1000, gamma=1"
6,GFE,50,-0.03226163728902942,Bias,"N=1000, gamma=1"
0,FE,5,-0.8340353931885578,Bias,"N=1000, gamma=1"
1,FE,10,-0.4153010592094133,Bias,"N=1000, gamma=1"
2,FE,15,-0.28037493279352377,Bias,"N=1000, gamma=1"
3,FE,20,-0.2105937231358611,Bias,"N=1000, gamma=1"
4,FE,25,-0.16921600932716596,Bias,"N=1000, gamma=1"
5,FE,30,-0.14038246795146958,Bias,"N=1000, gamma=1"
6,FE,50,-0.08538385634020007,Bias,"N=1000, gamma=1"
0,GFE,5,0.056255388823747136,Standard deviation,"N=1000, gamma=1"
1,GFE,10,0.04035725590755417,Standard deviation,"N=1000, gamma=1"
2,GFE,15,0.03331547572758088,Standard deviation,"N=1000, gamma=1"
3,GFE,20,0.027698012630985796,Standard deviation,"N=1000, gamma=1"
4,GFE,25,0.024479297797803803,Standard deviation,"N=1000, gamma=1"
5,GFE,30,0.022569812219621132,Standard deviation,"N=1000, gamma=1"
6,GFE,50,0.017092852734553007,Standard deviation,"N=1000, gamma=1"
0,FE,5,0.06107018144712224,Standard deviation,"N=1000, gamma=1"
1,FE,10,0.04133447960905106,Standard deviation,"N=1000, gamma=1"
2,FE,15,0.031751657719609534,Standard deviation,"N=1000, gamma=1"
3,FE,20,0.02684367141975002,Standard deviation,"N=1000, gamma=1"
4,FE,25,0.023794307435040594,Standard deviation,"N=1000, gamma=1"
5,FE,30,0.021727061541000223,Standard deviation,"N=1000, gamma=1"
6,FE,50,0.016800955100190276,Standard deviation,"N=1000, gamma=1"
0,GFE,5,0.5720320585798224,Root MSE,"N=1000, gamma=1"
1,GFE,10,0.20825188080833423,Root MSE,"N=1000, gamma=1"
2,GFE,15,0.12381832693384573,Root MSE,"N=1000, gamma=1"
3,GFE,20,0.09261713113558302,Root MSE,"N=1000, gamma=1"
4,GFE,25,0.07379662316711741,Root MSE,"N=1000, gamma=1"
5,GFE,30,0.05916259482938691,Root MSE,"N=1000, gamma=1"
6,GFE,50,0.03650998295225581,Root MSE,"N=1000, gamma=1"
0,FE,5,0.8362682608787545,Root MSE,"N=1000, gamma=1"
1,FE,10,0.4173529788859925,Root MSE,"N=1000, gamma=1"
2,FE,15,0.28216709713734556,Root MSE,"N=1000, gamma=1"
3,FE,20,0.21229766583623857,Root MSE,"N=1000, gamma=1"
4,FE,25,0.1708807387593018,Root MSE,"N=1000, gamma=1"
5,FE,30,0.14205387186328922,Root MSE,"N=1000, gamma=1"
6,FE,50,0.08702111821737603,Root MSE,"N=1000, gamma=1"
0,GFE,5,1.114038226415098,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
1,GFE,10,0.9834840897494758,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
2,GFE,15,0.9505904935857511,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
3,GFE,20,0.9810021456049083,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
4,GFE,25,0.987226204443217,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
5,GFE,30,0.9737485317464054,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
6,GFE,50,0.9898919658843931,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
0,FE,5,1.1209743094202114,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
1,FE,10,1.008137479881756,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
2,FE,15,1.0302110200335646,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
3,FE,20,1.0353581522513229,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
4,FE,25,1.033621264230322,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
5,FE,30,1.0264101000798413,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
6,FE,50,1.0156569097131831,Mean ratio standard error to standard deviation,"N=1000, gamma=1"
0,GFE,5,-0.5190279254757406,Bias,"N=1000, gamma=2"
1,GFE,10,-0.164321319247704,Bias,"N=1000, gamma=2"
2,GFE,15,-0.07693511004956088,Bias,"N=1000, gamma=2"
3,GFE,20,-0.049470689017246716,Bias,"N=1000, gamma=2"
4,GFE,25,-0.040315628812175985,Bias,"N=1000, gamma=2"
5,GFE,30,-0.0308437254439462,Bias,"N=1000, gamma=2"
6,GFE,50,-0.014160062792215267,Bias,"N=1000, gamma=2"
0,FE,5,-0.8776492733215401,Bias,"N=1000, gamma=2"
1,FE,10,-0.44312948170502986,Bias,"N=1000, gamma=2"
2,FE,15,-0.2983410723789419,Bias,"N=1000, gamma=2"
3,FE,20,-0.22490064066075555,Bias,"N=1000, gamma=2"
4,FE,25,-0.1808884777978269,Bias,"N=1000, gamma=2"
5,FE,30,-0.15169145734631362,Bias,"N=1000, gamma=2"
6,FE,50,-0.0907604972203605,Bias,"N=1000, gamma=2"
0,GFE,5,0.05977982997118193,Standard deviation,"N=1000, gamma=2"
1,GFE,10,0.04260589515017659,Standard deviation,"N=1000, gamma=2"
2,GFE,15,0.033942698459401996,Standard deviation,"N=1000, gamma=2"
3,GFE,20,0.031940859002410664,Standard deviation,"N=1000, gamma=2"
4,GFE,25,0.027646806874319228,Standard deviation,"N=1000, gamma=2"
5,GFE,30,0.02566344008976583,Standard deviation,"N=1000, gamma=2"
6,GFE,50,0.0181356978344448,Standard deviation,"N=1000, gamma=2"
0,FE,5,0.06371715143212614,Standard deviation,"N=1000, gamma=2"
1,FE,10,0.042227650952058264,Standard deviation,"N=1000, gamma=2"
2,FE,15,0.032661624244929285,Standard deviation,"N=1000, gamma=2"
3,FE,20,0.0291947327552335,Standard deviation,"N=1000, gamma=2"
4,FE,25,0.025338313220988624,Standard deviation,"N=1000, gamma=2"
5,FE,30,0.023862554181744298,Standard deviation,"N=1000, gamma=2"
6,FE,50,0.017228144365111536,Standard deviation,"N=1000, gamma=2"
0,GFE,5,0.5224591998376853,Root MSE,"N=1000, gamma=2"
1,GFE,10,0.16975499480384573,Root MSE,"N=1000, gamma=2"
2,GFE,15,0.08408993957093759,Root MSE,"N=1000, gamma=2"
3,GFE,20,0.05888605561296335,Root MSE,"N=1000, gamma=2"
4,GFE,25,0.0488845155122464,Root MSE,"N=1000, gamma=2"
5,GFE,30,0.04012415178545877,Root MSE,"N=1000, gamma=2"
6,GFE,50,0.023008931183820015,Root MSE,"N=1000, gamma=2"
0,FE,5,0.8799591594775589,Root MSE,"N=1000, gamma=2"
1,FE,10,0.4451369587678575,Root MSE,"N=1000, gamma=2"
2,FE,15,0.300123603147993,Root MSE,"N=1000, gamma=2"
3,FE,20,0.22678763323926593,Root MSE,"N=1000, gamma=2"
4,FE,25,0.18265451408848304,Root MSE,"N=1000, gamma=2"
5,FE,30,0.1535568940944208,Root MSE,"N=1000, gamma=2"
6,FE,50,0.09238114966784182,Root MSE,"N=1000, gamma=2"
0,GFE,5,1.11070630493669,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
1,GFE,10,0.9830996562597007,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
2,GFE,15,0.9803661937521698,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
3,GFE,20,0.8951796722266905,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
4,GFE,25,0.9208958079854724,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
5,GFE,30,0.9034011370436945,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
6,GFE,50,0.984999756647447,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
0,FE,5,1.1381705898503534,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
1,FE,10,1.045731476299244,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
2,FE,15,1.0589537772340578,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
3,FE,20,1.0083087190024707,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
4,FE,25,1.0272877139615901,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
5,FE,30,0.9897999187043454,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
6,FE,50,1.048394712589537,Mean ratio standard error to standard deviation,"N=1000, gamma=2"
